_id,username,text
5ed04a22682cbc70de4c4e51,BC__Innovate,Currently writing a article on @NHSuk students working during the pandemic and the challenges you guys face! Please talk to me! Dm open! #journorequest #coronavirus #NHSheroes
5ed04a22682cbc70de4c4e52,BC__Innovate,We have been notified during drainage works on Moat Road a hole has appeared. There is now temporary manual traffic diversions which will cause some disruption to staff and visitors leaving the car parks.
5ed04a22682cbc70de4c4e53,BC__Innovate,"ICYMI - @CMPG  @Trafficwmp Road Harm Reduction Team have been out catching speeding drivers, educating and enforcing at those doing excess speeds.

Yesterday Deputy PCC @waheedsaleem joined them on an operation. https://t.co/ZIPzB9i6ND"
5ed04a22682cbc70de4c4e54,BC__Innovate,"It's great to get out in the sunshine and exercise here in #Walsall - but make sure you #StaySafeSaveLives &amp; protect yourself/your household from #COVID19 #Coronavirus by continuing to observe #SocialDistancing while outside &amp; #WashYourHands as soon as you get home https://t.co/0W4WJNQn1v"
5ed04a22682cbc70de4c4e55,BC__Innovate,"The Walsall Talking Therapies Service is a free service offering advice, support and therapy for people experiencing low mood, depression and anxiety. You can find out more here and self refer online. https://t.co/JHGKQ6AWLM"
5ed04a22682cbc70de4c4e56,BC__Innovate,"Next week is @NCVOvolunteers #volunteersweek2020 👏❤️

What better time to thank all those who’ve helped communities across #Walsall through #volunteering.

If you want to nominate a volunteer for our #VolunteerStarAwards then follow the link below 
https://t.co/Ry1m4qm5Ir"
5ed04a22682cbc70de4c4e57,BC__Innovate,".@BlackCountryNHS have launched a new 24/7 mental health helpline for people living in Walsall and the wider Black Country. If you need advice or support, please call 0345 6460827. https://t.co/AZw1iFCsGg"
5ed04a22682cbc70de4c4e58,BC__Innovate,"Any #NHS students working through #COVID__19, hit me up! I would love to have a chat! #journorequest #NHSVolunteerResponders #nhs"
5ed04a22682cbc70de4c4e59,BC__Innovate,"🙌 The #coronavirus is no excuse for hatred. We all need to stick together to fight against the disease.
 
🗣 If you’ve been a victim of a hate crime, we do not want you to suffer in silence. Tell us, we are here to help.
 
📲 Visit https://t.co/ExENFOIh8t and search 'hate crime' https://t.co/OrGlVMl1yP"
5ed04a24682cbc70de4c4e5b,Msnisi09,"💰 I just made $103 on CashGem 💰 and YOU can too!
💵 Sign up today for a $30 bonus! 💵
‼️ https://t.co/aYtr5G76bp ‼️
Make money online with CashGem. https://t.co/RDqOqgCNN0"
5ed04a24682cbc70de4c4e5c,Msnisi09,"Hi all, I'm inviting you all to join CashGem, a site that lets you earn money with social media. I just earned $38 and you can too! Sign up today for a $30 bonus! https://t.co/aYtr5G76bp #cashgem #cashappfriday #stayathome"
5ed04a24682cbc70de4c4e5d,Msnisi09,"Hi all, I'm inviting you all to join CashGem, a site that lets you earn money with social media. I just earned $38 and you can too! Sign up today for a $30 bonus! https://t.co/aYtr5G76bp #cashgem #cashappfriday #stayathome"
5ed04a24682cbc70de4c4e5e,Msnisi09,$DeniseSanderlin https://t.co/nhqQkX9OWS
5ed04a24682cbc70de4c4e5f,Msnisi09,".@theestallion's ""Captain Hook"" is the greatest position gainer on the US Spotify chart (+23 spots; April 8)."
5ed04a24682cbc70de4c4e60,Msnisi09,https://t.co/Pk4vWASvoh https://t.co/CXlOzU9TRA
5ed04a24682cbc70de4c4e61,Msnisi09,https://t.co/Pk4vWASvoh https://t.co/Kog82SzMKk
5ed04a24682cbc70de4c4e62,Msnisi09,https://t.co/Pk4vWASvoh https://t.co/t4UkkenlnI
5ed04a24682cbc70de4c4e63,Msnisi09,https://t.co/Pk4vWASvoh
5ed04a24682cbc70de4c4e64,Msnisi09,https://t.co/Pk4vWBa6fP
5ed04a26682cbc70de4c4e66,footienut247,June 17th ⚽️ is back. https://t.co/RfwkfgEN9Q
5ed04a26682cbc70de4c4e67,footienut247,"Got to find shade where you can today 🥵☀️
#headingfacials
#warmmmmm https://t.co/mcWK0IgwlD"
5ed04a26682cbc70de4c4e68,footienut247,"Don’t worry Robbo, I’ve got you covered mate ☀️
#middaysesh 🔥
#leftbackcover
#shouldbeenough https://t.co/BF3gUn6GzS"
5ed04a26682cbc70de4c4e69,footienut247,"2 years since the final in Kiev. 😏

No problem, a year later we did it. 😁💪🏻

#YNWA 🔴🔴🔴 @LFC"
5ed04a26682cbc70de4c4e6a,footienut247,26th May 2018. As seen from a tree. 🌳 https://t.co/ZUwmbo8mIf
5ed04a26682cbc70de4c4e6b,footienut247,"Exactly this time two years ago was the moment @DUALIPA realised her fans were teenage girls and scousers in bucket hats and 110s

https://t.co/LiwdvCClcn"
5ed04a26682cbc70de4c4e6c,footienut247,I’m off to Blackpool ... it’s about 30 miles give or take ... taking the grandchildren ... my left leg has gone numb and so will struggle with the clutch but will try it out https://t.co/Jt0HikC5qa
5ed04a26682cbc70de4c4e6d,footienut247,This brother helping his sister get buckets is definitely the Twitter content I’m here for...🌎❤️🏀❤️https://t.co/VwlP2mHY8j
5ed04a26682cbc70de4c4e6e,footienut247,"Still remember watching it with my brothers. What a night 🤩 #YNWA

https://t.co/rSqzvN4xlN"
5ed04a26682cbc70de4c4e6f,footienut247,"Why do scuba divers fall backwards into the water?

Because if they fell forwards they’d still be in the boat."
5ed04a27682cbc70de4c4e71,Stallion_Team2,Your past was never a mistake if you learned from it.
5ed04a27682cbc70de4c4e72,Stallion_Team2,@perfil_lotadoo ifb 🐎
5ed04a27682cbc70de4c4e73,Stallion_Team2,@skyflood35 @Followmeyara @SonKraL__ Blessed friend
5ed04a27682cbc70de4c4e74,Stallion_Team2,@skyflood35 @Followmeyara @SonKraL__ ifb
5ed04a27682cbc70de4c4e75,Stallion_Team2,"Who's active?
Follow friends
Gain W/ #TEAMSTALLION🐎

@PopRioRe
@italianostyle2
@MarEthr
@tiaremarz
@MagDivina
@hortkoff3
@S2_CarlaS2
@ThiagobeezyGh
@kuta_BALI_
@___marcio
@Furqa45
@itsKS_
@santosnervoso
@7Sat_
@chellhd
@lovecelticwoman"
5ed04a27682cbc70de4c4e76,Stallion_Team2,"You're welcome everyone.. Thank you and be safe.."
5ed04a27682cbc70de4c4e77,Stallion_Team2,@SlimLord211 #TEAMSTALLION .............Family
